Product ID,Order ID,Order Date,Promised Delivery Date,Actual Delivery Date,On-Time Delivery,Order Cycle Time,Status,Return Reason,Product Category,Quantity Ordered,Unit Price,Total Cost,Cost of Goods Sold (COGS),Shipping Cost,Region,City,Supplier,Warehouse,Inventory on Hand,Inventory Turnover,Safety Stock,Order_Priority,Lead_Time,Unit Cost
P9479,ASI-00011,2023-03-01,2023-03-08,2023-03-12,No,11,In Transit,No Issues Reported,Home Goods,52,497.6,25875.2,18888.26,27.52,Asia,Shanghai,Supplier A,Warehouse 6,281,2.77,48,High,9,497.6
P9423,NOR-00012,2023-11-08,2023-11-11,2023-11-12,No,4,In Transit,No Issues Reported,Electronics,30,38.36,1150.8,697.71,23.22,North America,New York,Supplier B,Warehouse 3,171,4.42,82,Low,13,38.36
P1887,NOR-00013,2023-12-20,2023-12-30,2023-12-31,No,11,Returned,Wrong Item,Electronics,85,218.37,18561.45,12709.32,28.68,North America,New York,Supplier A,Warehouse 7,394,8.36,32,Low,6,218.37
P2235,NOR-00014,2024-01-03,2024-01-11,2024-01-10,Yes,7,In Transit,No Issues Reported,Groceries,58,74.39,4314.62,2747.11,28.51,North America,Toronto,Supplier A,Warehouse 1,276,9.98,90,High,12,74.39
P7209,NOR-00015,2024-11-09,2024-11-12,2024-11-11,Yes,2,In Transit,No Issues Reported,Books,62,110.8,6869.6,4672.76,12.35,North America,Chicago,Supplier D,Warehouse 5,51,11.85,53,High,9,110.80000000000001
P1936,NOR-00016,2024-11-06,2024-11-15,2024-11-20,No,14,In Transit,No Issues Reported,Apparel,8,291.69,2333.52,1653.16,39.92,North America,Los Angeles,Supplier E,Warehouse 3,75,7.63,84,High,13,291.69
P5033,NOR-00017,2023-07-03,2023-07-06,2023-07-05,Yes,2,In Transit,No Issues Reported,Electronics,87,431.6,37549.2,25561.81,47.66,North America,Houston,Supplier A,Warehouse 7,346,7.74,99,Medium,4,431.59999999999997
P6180,ASI-00018,2023-12-19,2023-12-27,2023-12-29,No,10,In Transit,No Issues Reported,Apparel,34,200.91,6830.94,5016.22,22.0,Asia,Mumbai,Supplier D,Warehouse 2,434,11.33,21,Medium,8,200.91
P5956,NOR-00019,2023-03-18,2023-03-22,2023-03-23,No,5,Pending,No Issues Reported,Electronics,32,187.92,6013.44,3797.78,43.35,North America,Los Angeles,Supplier A,Warehouse 5,363,11.83,87,Medium,11,187.92
P4335,NOR-00020,2024-09-13,2024-09-17,2024-09-17,Yes,4,Pending,No Issues Reported,Groceries,20,139.81,2796.2,2015.97,38.7,North America,New York,Supplier E,Warehouse 8,401,8.16,53,High,4,139.81
P5291,ASI-00021,2023-02-23,2023-03-02,2023-02-28,Yes,5,Delivered,No Issues Reported,Home Goods,6,6.76,40.56,30.59,35.48,Asia,Singapore,Supplier F,Warehouse 7,132,9.28,90,Medium,2,6.760000000000001
P3088,ASI-00022,2024-06-09,2024-06-12,2024-06-11,Yes,2,Delivered,No Issues Reported,Groceries,5,418.12,2090.6,1497.92,15.92,Asia,Shanghai,Supplier C,Warehouse 4,71,4.74,25,High,10,418.12
P3900,ASI-00023,2023-10-14,2023-10-20,2023-10-19,Yes,5,Pending,No Issues Reported,Groceries,96,81.5,7824.0,6149.48,44.58,Asia,Singapore,Supplier D,Warehouse 4,261,1.76,62,High,11,81.5
P4728,EUR-00024,2023-08-24,2023-08-31,2023-08-31,Yes,7,Delivered,No Issues Reported,Books,29,103.79,3009.91,2358.84,23.99,Europe,London,Supplier D,Warehouse 6,164,1.75,44,Medium,9,103.78999999999999
P2889,EUR-00025,2023-05-16,2023-05-23,2023-05-22,Yes,6,Pending,No Issues Reported,Books,87,490.67,42688.29,30191.0,47.57,Europe,Rome,Supplier E,Warehouse 5,499,11.69,42,Medium,5,490.67
P4114,ASI-00026,2024-09-29,2024-10-02,2024-10-01,Yes,2,Returned,Wrong Item,Books,78,492.2,38391.6,23922.93,45.98,Asia,Mumbai,Supplier A,Warehouse 4,180,1.97,75,Medium,4,492.2
P9308,ASI-00027,2023-04-22,2023-04-30,2023-05-04,No,12,Delivered,No Issues Reported,Groceries,41,333.38,13668.58,8541.84,46.0,Asia,Mumbai,Supplier D,Warehouse 5,208,8.5,61,High,2,333.38
P5700,EUR-00028,2024-03-17,2024-03-22,2024-03-23,No,6,Returned,Customer Changed Mind,Groceries,73,153.97,11239.81,7975.63,10.02,Europe,Berlin,Supplier E,Warehouse 6,157,6.01,94,Medium,1,153.97
P6491,NOR-00029,2024-03-28,2024-04-07,2024-04-12,No,15,Returned,Customer Changed Mind,Books,95,89.0,8455.0,5216.39,30.62,North America,Houston,Supplier F,Warehouse 5,97,10.09,50,Medium,11,89.0
P4185,NOR-00030,2024-04-27,2024-05-03,2024-05-04,No,7,In Transit,No Issues Reported,Apparel,61,307.58,18762.38,14141.17,28.22,North America,New York,Supplier D,Warehouse 4,417,8.81,83,High,7,307.58000000000004
P2988,EUR-00031,2024-09-05,2024-09-10,2024-09-08,Yes,3,Delivered,No Issues Reported,Apparel,90,261.39,23525.1,14351.34,19.97,Europe,Berlin,Supplier F,Warehouse 6,283,2.9,79,Medium,6,261.39
P9540,ASI-00032,2023-07-03,2023-07-13,2023-07-17,No,14,Returned,Damaged,Books,34,377.13,12822.42,9847.27,21.09,Asia,Singapore,Supplier D,Warehouse 2,298,8.08,55,High,2,377.13
P4505,EUR-00033,2024-07-12,2024-07-19,2024-07-20,No,8,Pending,No Issues Reported,Groceries,11,73.5,808.5,522.49,37.76,Europe,Paris,Supplier E,Warehouse 8,82,5.86,62,High,8,73.5
P8814,EUR-00034,2024-05-05,2024-05-14,2024-05-12,Yes,7,In Transit,No Issues Reported,Groceries,90,14.67,1320.3,1024.73,33.03,Europe,Madrid,Supplier D,Warehouse 7,53,11.4,58,Low,11,14.67
P3704,EUR-00035,2023-03-15,2023-03-21,2023-03-26,No,11,In Transit,No Issues Reported,Books,4,197.48,789.92,579.62,41.93,Europe,Madrid,Supplier E,Warehouse 1,480,6.41,36,Low,4,197.48
P8449,ASI-00036,2023-08-17,2023-08-26,2023-08-24,Yes,7,Delivered,No Issues Reported,Apparel,60,94.96,5697.6,3715.01,23.09,Asia,Singapore,Supplier C,Warehouse 7,217,5.04,68,Low,8,94.96000000000001
P1659,ASI-00037,2023-12-11,2023-12-18,2023-12-17,Yes,6,Returned,Damaged,Electronics,45,115.99,5219.55,3203.36,48.29,Asia,Seoul,Supplier B,Warehouse 1,436,1.83,51,Medium,7,115.99000000000001
P2876,EUR-00038,2023-08-31,2023-09-05,2023-09-06,No,6,In Transit,No Issues Reported,Groceries,28,235.19,6585.32,4288.68,24.76,Europe,London,Supplier A,Warehouse 1,448,10.1,59,High,5,235.19
P5941,NOR-00039,2023-07-29,2023-08-05,2023-08-09,No,11,Returned,Customer Changed Mind,Groceries,89,416.13,37035.57,24020.16,37.89,North America,New York,Supplier E,Warehouse 1,485,8.68,35,Medium,10,416.13
P6934,NOR-00040,2024-10-19,2024-10-27,2024-10-31,No,12,Pending,No Issues Reported,Home Goods,2,425.54,851.08,650.62,14.22,North America,Houston,Supplier F,Warehouse 3,375,10.86,78,Medium,10,425.54
P5022,ASI-00041,2024-03-30,2024-04-08,2024-04-08,Yes,9,Pending,No Issues Reported,Books,60,220.61,13236.6,9877.22,20.74,Asia,Seoul,Supplier D,Warehouse 4,475,11.31,55,High,12,220.61
P5581,NOR-00042,2024-11-12,2024-11-22,2024-11-26,No,14,Pending,No Issues Reported,Home Goods,24,246.34,5912.16,3966.85,20.33,North America,Chicago,Supplier E,Warehouse 1,500,7.76,55,Medium,8,246.34
P9041,ASI-00043,2024-06-17,2024-06-23,2024-06-22,Yes,5,In Transit,No Issues Reported,Books,72,380.29,27380.88,20210.43,35.84,Asia,Singapore,Supplier C,Warehouse 4,279,9.83,31,High,14,380.29
P6419,ASI-00044,2023-07-03,2023-07-12,2023-07-13,No,10,Pending,No Issues Reported,Home Goods,61,278.97,17017.17,11380.26,49.87,Asia,Seoul,Supplier C,Warehouse 5,230,8.88,54,Low,9,278.96999999999997
P5530,EUR-00045,2024-04-04,2024-04-10,2024-04-09,Yes,5,In Transit,No Issues Reported,Groceries,98,346.63,33969.74,21683.16,39.54,Europe,London,Supplier E,Warehouse 5,420,7.69,87,High,5,346.63
P1893,NOR-00046,2023-09-05,2023-09-09,2023-09-10,No,5,Pending,No Issues Reported,Apparel,39,12.0,468.0,330.8,20.97,North America,Los Angeles,Supplier F,Warehouse 8,333,4.57,36,Medium,10,12.0
P8827,EUR-00047,2023-03-21,2023-03-25,2023-03-23,Yes,2,Pending,No Issues Reported,Books,44,96.26,4235.44,2584.78,47.64,Europe,Madrid,Supplier D,Warehouse 2,108,10.13,71,Medium,5,96.25999999999999
P4697,ASI-00048,2023-10-07,2023-10-10,2023-10-10,Yes,3,In Transit,No Issues Reported,Electronics,32,63.63,2036.16,1533.0,34.25,Asia,Mumbai,Supplier D,Warehouse 5,447,6.99,77,Medium,2,63.63
P3847,ASI-00049,2024-07-15,2024-07-24,2024-07-26,No,11,Delivered,No Issues Reported,Apparel,81,109.46,8866.26,6490.86,16.28,Asia,Tokyo,Supplier D,Warehouse 8,332,2.29,20,Medium,5,109.46000000000001
P5334,NOR-00050,2023-04-24,2023-05-04,2023-05-06,No,12,Delivered,No Issues Reported,Home Goods,90,430.51,38745.9,23799.12,19.34,North America,Los Angeles,Supplier F,Warehouse 4,453,9.81,95,High,3,430.51
P5728,ASI-00051,2024-07-16,2024-07-25,2024-07-24,Yes,8,In Transit,No Issues Reported,Home Goods,19,40.35,766.65,485.43,22.3,Asia,Shanghai,Supplier F,Warehouse 7,274,2.81,58,Low,7,40.35
P1339,ASI-00052,2024-05-22,2024-05-29,2024-06-03,No,12,Returned,Damaged,Books,95,164.55,15632.25,10162.11,13.65,Asia,Tokyo,Supplier E,Warehouse 1,441,8.56,54,Medium,10,164.55
P7690,NOR-00053,2023-01-15,2023-01-20,2023-01-25,No,10,Returned,Wrong Item,Books,82,408.05,33460.1,26561.0,28.8,North America,Houston,Supplier B,Warehouse 6,220,4.87,33,Low,5,408.04999999999995
P7622,ASI-00054,2023-02-02,2023-02-11,2023-02-16,No,14,Pending,No Issues Reported,Groceries,5,230.14,1150.7,762.8,22.93,Asia,Singapore,Supplier F,Warehouse 8,492,6.9,20,Low,8,230.14000000000001
P5375,ASI-00055,2023-05-07,2023-05-16,2023-05-14,Yes,7,In Transit,No Issues Reported,Groceries,97,251.75,24419.75,16810.76,12.06,Asia,Mumbai,Supplier D,Warehouse 8,331,2.88,56,Medium,1,251.75
P2858,ASI-00056,2024-04-15,2024-04-19,2024-04-17,Yes,2,In Transit,No Issues Reported,Home Goods,71,11.77,835.67,569.59,18.99,Asia,Shanghai,Supplier D,Warehouse 5,286,11.44,39,Low,3,11.77
P3236,NOR-00057,2024-11-12,2024-11-19,2024-11-23,No,11,Returned,Wrong Item,Groceries,19,194.88,3702.72,2904.32,30.33,North America,Chicago,Supplier C,Warehouse 5,492,2.23,73,High,3,194.88
P9903,ASI-00058,2024-12-26,2024-12-29,2024-12-31,No,5,Pending,No Issues Reported,Books,20,226.04,4520.8,3150.4,23.3,Asia,Seoul,Supplier B,Warehouse 4,243,6.28,61,High,9,226.04000000000002
P3492,EUR-00059,2024-02-29,2024-03-09,2024-03-10,No,10,Returned,Damaged,Books,50,494.26,24713.0,18744.28,36.08,Europe,Madrid,Supplier E,Warehouse 6,303,11.63,36,High,5,494.26
P2225,ASI-00060,2023-03-26,2023-03-30,2023-04-04,No,9,Delivered,No Issues Reported,Electronics,93,76.36,7101.48,5497.87,48.8,Asia,Singapore,Supplier C,Warehouse 7,290,9.71,53,Medium,12,76.36
P5708,ASI-00061,2023-07-31,2023-08-04,2023-08-07,No,7,Returned,Wrong Item,Groceries,5,310.64,1553.2,1004.85,37.38,Asia,Singapore,Supplier A,Warehouse 2,166,9.34,75,Medium,9,310.64
P9702,NOR-00062,2023-12-03,2023-12-13,2023-12-13,Yes,10,Pending,No Issues Reported,Home Goods,8,150.22,1201.76,811.15,15.82,North America,New York,Supplier B,Warehouse 3,260,7.44,43,High,13,150.22
P1153,EUR-00063,2023-09-05,2023-09-09,2023-09-13,No,8,In Transit,No Issues Reported,Apparel,30,233.27,6998.1,4554.33,20.21,Europe,Rome,Supplier F,Warehouse 3,461,6.39,56,Low,9,233.27
P7302,ASI-00064,2024-06-06,2024-06-10,2024-06-15,No,9,Pending,No Issues Reported,Books,89,128.8,11463.2,8815.9,17.97,Asia,Mumbai,Supplier D,Warehouse 6,486,6.57,50,Medium,1,128.8
P1803,ASI-00065,2024-09-20,2024-09-27,2024-09-29,No,9,Delivered,No Issues Reported,Home Goods,2,285.13,570.26,420.37,39.79,Asia,Singapore,Supplier B,Warehouse 6,360,9.32,56,High,2,285.13
P6977,ASI-00066,2023-09-05,2023-09-11,2023-09-12,No,7,Pending,No Issues Reported,Electronics,81,324.94,26320.14,17418.32,27.63,Asia,Shanghai,Supplier C,Warehouse 7,424,2.88,57,Medium,5,324.94
P8894,ASI-00067,2024-04-21,2024-04-26,2024-04-27,No,6,In Transit,No Issues Reported,Groceries,65,457.18,29716.7,22765.8,20.28,Asia,Mumbai,Supplier A,Warehouse 8,462,4.6,63,High,4,457.18
P3024,ASI-00068,2023-09-22,2023-09-26,2023-09-26,Yes,4,In Transit,No Issues Reported,Groceries,47,49.7,2335.9,1585.88,20.58,Asia,Singapore,Supplier E,Warehouse 7,282,5.37,53,Low,10,49.7
P8606,EUR-00069,2023-11-30,2023-12-08,2023-12-07,Yes,7,In Transit,No Issues Reported,Groceries,72,167.36,12049.92,8700.24,35.91,Europe,London,Supplier A,Warehouse 3,408,4.67,72,High,9,167.36
P9850,EUR-00070,2023-02-09,2023-02-12,2023-02-10,Yes,1,Pending,No Issues Reported,Electronics,31,444.19,13769.89,8635.55,28.15,Europe,London,Supplier D,Warehouse 2,264,7.67,39,Low,7,444.19
P7018,NOR-00071,2023-10-24,2023-11-03,2023-11-07,No,14,Pending,No Issues Reported,Apparel,57,225.12,12831.84,8305.06,24.51,North America,Los Angeles,Supplier A,Warehouse 7,328,10.97,65,Medium,6,225.12
P6464,EUR-00072,2024-11-15,2024-11-22,2024-11-23,No,8,Delivered,No Issues Reported,Apparel,83,321.55,26688.65,21196.62,12.02,Europe,London,Supplier B,Warehouse 2,174,11.88,92,High,7,321.55
P9850,EUR-00073,2024-01-16,2024-01-22,2024-01-23,No,7,In Transit,No Issues Reported,Groceries,1,142.25,142.25,113.35,49.5,Europe,Berlin,Supplier F,Warehouse 1,178,9.88,34,High,1,142.25
P9619,NOR-00074,2023-06-30,2023-07-05,2023-07-03,Yes,3,Pending,No Issues Reported,Home Goods,3,91.25,273.75,167.12,39.67,North America,Houston,Supplier D,Warehouse 6,108,9.33,80,Low,1,91.25
P8847,ASI-00075,2023-11-13,2023-11-17,2023-11-22,No,9,In Transit,No Issues Reported,Groceries,39,231.73,9037.47,7164.95,12.43,Asia,Tokyo,Supplier D,Warehouse 8,483,5.72,33,Medium,8,231.73
P6327,ASI-00076,2023-05-26,2023-05-30,2023-05-29,Yes,3,Pending,No Issues Reported,Electronics,17,141.13,2399.21,1743.3,31.93,Asia,Shanghai,Supplier C,Warehouse 8,245,11.94,87,Medium,13,141.13
P8430,ASI-00077,2023-08-13,2023-08-22,2023-08-21,Yes,8,Delivered,No Issues Reported,Apparel,56,228.52,12797.12,8263.08,23.56,Asia,Seoul,Supplier C,Warehouse 7,254,5.87,32,Medium,13,228.52
P7105,NOR-00078,2024-01-17,2024-01-25,2024-01-27,No,10,Pending,No Issues Reported,Electronics,12,416.73,5000.76,3093.7,13.86,North America,Chicago,Supplier E,Warehouse 6,465,2.87,27,High,2,416.73
P4485,ASI-00079,2024-03-16,2024-03-20,2024-03-24,No,8,Pending,No Issues Reported,Electronics,37,302.2,11181.4,7495.22,33.12,Asia,Singapore,Supplier A,Warehouse 6,129,8.4,48,Medium,12,302.2
P1430,ASI-00080,2023-05-07,2023-05-15,2023-05-14,Yes,7,Pending,No Issues Reported,Books,72,487.4,35092.8,26799.86,34.54,Asia,Shanghai,Supplier A,Warehouse 3,361,11.26,54,High,10,487.40000000000003
P1502,EUR-00081,2024-06-16,2024-06-23,2024-06-25,No,9,Pending,No Issues Reported,Apparel,19,285.33,5421.27,3687.31,15.67,Europe,London,Supplier D,Warehouse 7,96,9.33,47,Low,11,285.33000000000004
P3549,EUR-00082,2024-02-14,2024-02-24,2024-02-27,No,13,In Transit,No Issues Reported,Home Goods,100,471.0,47100.0,33876.43,45.33,Europe,Paris,Supplier F,Warehouse 2,130,9.42,26,Medium,9,471.0
P2816,ASI-00083,2024-10-16,2024-10-23,2024-10-28,No,12,Returned,Wrong Item,Books,35,111.71,3909.85,2746.55,23.81,Asia,Singapore,Supplier D,Warehouse 5,195,8.62,95,Medium,7,111.71
P5742,NOR-00084,2024-06-04,2024-06-07,2024-06-08,No,4,Returned,Customer Changed Mind,Apparel,39,472.94,18444.66,13897.5,40.57,North America,New York,Supplier F,Warehouse 7,217,2.76,83,High,6,472.94
P1693,ASI-00085,2024-09-03,2024-09-08,2024-09-08,Yes,5,Returned,Customer Changed Mind,Groceries,72,417.51,30060.72,22883.42,12.88,Asia,Shanghai,Supplier C,Warehouse 7,273,1.7,29,Medium,1,417.51
P6928,NOR-00086,2023-07-08,2023-07-17,2023-07-21,No,13,Pending,No Issues Reported,Electronics,42,90.08,3783.36,2987.05,28.4,North America,Chicago,Supplier B,Warehouse 7,95,6.09,33,Medium,1,90.08
P9693,ASI-00087,2024-11-27,2024-12-06,2024-12-05,Yes,8,Returned,Wrong Item,Apparel,43,390.66,16798.38,10335.64,35.33,Asia,Mumbai,Supplier C,Warehouse 3,311,3.54,64,Medium,2,390.66
P9095,EUR-00088,2024-08-10,2024-08-16,2024-08-15,Yes,5,In Transit,No Issues Reported,Apparel,78,80.67,6292.26,4730.71,13.01,Europe,Berlin,Supplier D,Warehouse 6,287,9.42,94,Medium,6,80.67
P8565,EUR-00089,2023-04-18,2023-04-26,2023-04-26,Yes,8,Returned,Damaged,Home Goods,36,297.75,10719.0,7185.89,12.97,Europe,Madrid,Supplier C,Warehouse 2,281,1.89,67,Low,14,297.75
P3471,ASI-00090,2024-01-21,2024-01-25,2024-01-29,No,8,Returned,Customer Changed Mind,Books,74,327.66,24246.84,16107.31,29.03,Asia,Tokyo,Supplier F,Warehouse 2,81,6.23,63,Medium,6,327.66
P5634,ASI-00091,2023-05-17,2023-05-22,2023-05-20,Yes,3,In Transit,No Issues Reported,Books,68,263.76,17935.68,11330.85,24.91,Asia,Singapore,Supplier F,Warehouse 1,248,5.79,63,High,2,263.76
P3463,NOR-00092,2023-11-22,2023-11-30,2023-11-29,Yes,7,Pending,No Issues Reported,Books,37,129.74,4800.38,3697.8,48.58,North America,Houston,Supplier C,Warehouse 5,220,2.36,38,Medium,1,129.74
P9624,EUR-00093,2023-07-11,2023-07-20,2023-07-20,Yes,9,Delivered,No Issues Reported,Books,83,396.87,32940.21,25121.42,36.8,Europe,Rome,Supplier E,Warehouse 6,97,8.28,74,Medium,10,396.87
P2264,NOR-00094,2023-03-17,2023-03-20,2023-03-23,No,6,Pending,No Issues Reported,Home Goods,99,245.7,24324.3,15696.68,15.5,North America,Toronto,Supplier E,Warehouse 1,201,10.37,32,Medium,5,245.7
P4891,NOR-00095,2023-08-06,2023-08-14,2023-08-14,Yes,8,Returned,Damaged,Groceries,22,361.99,7963.78,4847.86,24.57,North America,Toronto,Supplier B,Warehouse 4,277,7.91,77,Medium,5,361.99
P7859,EUR-00096,2023-07-18,2023-07-25,2023-07-30,No,12,In Transit,No Issues Reported,Books,60,385.87,23152.2,17494.38,30.12,Europe,Rome,Supplier B,Warehouse 5,132,10.08,97,Medium,2,385.87
P9410,ASI-00097,2024-02-26,2024-02-29,2024-03-05,No,8,Pending,No Issues Reported,Groceries,16,146.11,2337.76,1759.45,20.91,Asia,Tokyo,Supplier B,Warehouse 8,125,10.23,31,Medium,6,146.11
P6221,EUR-00098,2024-05-31,2024-06-08,2024-06-06,Yes,6,Returned,Damaged,Home Goods,31,196.15,6080.65,3747.63,18.98,Europe,Rome,Supplier B,Warehouse 3,100,10.31,62,Medium,9,196.14999999999998
P3449,NOR-00099,2023-05-08,2023-05-11,2023-05-13,No,5,Returned,Customer Changed Mind,Books,79,7.6,600.4,369.75,20.24,North America,Chicago,Supplier E,Warehouse 7,330,11.37,97,High,2,7.6
P2816,EUR-00100,2024-01-29,2024-02-02,2024-02-04,No,6,In Transit,No Issues Reported,Electronics,31,212.81,6597.11,5005.75,28.28,Europe,London,Supplier E,Warehouse 1,478,11.0,96,High,10,212.81
P2402,EUR-00101,2024-04-03,2024-04-09,2024-04-09,Yes,6,Pending,No Issues Reported,Groceries,46,124.08,5707.68,3900.13,36.57,Europe,London,Supplier E,Warehouse 1,318,11.73,28,High,2,124.08000000000001
P4950,ASI-00102,2023-06-23,2023-07-02,2023-07-07,No,14,Delivered,No Issues Reported,Home Goods,33,374.92,12372.36,8307.03,12.7,Asia,Singapore,Supplier E,Warehouse 6,425,8.4,33,Medium,3,374.92
P3986,ASI-00103,2024-01-13,2024-01-18,2024-01-16,Yes,3,Pending,No Issues Reported,Apparel,100,343.92,34392.0,27381.67,29.14,Asia,Mumbai,Supplier A,Warehouse 5,465,2.92,78,Medium,13,343.92
P1599,NOR-00104,2023-05-22,2023-05-28,2023-05-26,Yes,4,In Transit,No Issues Reported,Home Goods,66,202.12,13339.92,10179.44,28.94,North America,Los Angeles,Supplier C,Warehouse 1,435,8.29,56,Medium,7,202.12
P4060,EUR-00105,2023-11-11,2023-11-19,2023-11-21,No,10,Delivered,No Issues Reported,Books,96,222.67,21376.32,16914.99,23.56,Europe,Madrid,Supplier E,Warehouse 5,304,8.77,67,Low,6,222.67
P5843,EUR-00106,2024-06-19,2024-06-23,2024-06-27,No,8,Delivered,No Issues Reported,Apparel,70,150.41,10528.7,6533.26,23.12,Europe,Rome,Supplier B,Warehouse 8,206,6.18,74,High,12,150.41
P2229,ASI-00107,2024-05-18,2024-05-26,2024-05-31,No,13,Delivered,No Issues Reported,Groceries,56,140.9,7890.4,6280.8,47.92,Asia,Mumbai,Supplier E,Warehouse 3,393,8.19,66,Medium,8,140.9
P1530,NOR-00108,2024-07-16,2024-07-19,2024-07-19,Yes,3,Returned,Damaged,Apparel,100,324.36,32436.0,21810.94,47.98,North America,New York,Supplier C,Warehouse 6,359,3.11,77,Medium,8,324.36
P4048,ASI-00109,2024-03-18,2024-03-28,2024-03-27,Yes,9,In Transit,No Issues Reported,Books,41,326.53,13387.73,8700.98,14.54,Asia,Mumbai,Supplier A,Warehouse 5,305,6.94,91,High,6,326.53
P8292,ASI-00110,2024-08-10,2024-08-17,2024-08-22,No,12,In Transit,No Issues Reported,Books,26,65.71,1708.46,1316.48,28.08,Asia,Mumbai,Supplier F,Warehouse 6,94,10.01,60,High,12,65.71000000000001
P4878,NOR-00111,2023-08-03,2023-08-07,2023-08-09,No,6,Pending,No Issues Reported,Home Goods,66,116.0,7656.0,6102.03,41.68,North America,Toronto,Supplier E,Warehouse 6,454,6.69,66,High,11,116.0
P2208,NOR-00112,2024-12-05,2024-12-15,2024-12-15,Yes,10,Delivered,No Issues Reported,Books,92,360.84,33197.28,23408.7,40.77,North America,Los Angeles,Supplier D,Warehouse 8,114,11.71,29,High,10,360.84
P3653,NOR-00113,2024-08-18,2024-08-26,2024-08-26,Yes,8,In Transit,No Issues Reported,Groceries,8,416.54,3332.32,2344.69,22.16,North America,Chicago,Supplier C,Warehouse 5,215,11.31,48,Low,3,416.54
P3762,ASI-00114,2024-04-03,2024-04-07,2024-04-09,No,6,In Transit,No Issues Reported,Home Goods,17,314.39,5344.63,3863.56,13.74,Asia,Seoul,Supplier B,Warehouse 6,353,11.39,39,Low,3,314.39
P1496,NOR-00115,2024-10-06,2024-10-09,2024-10-07,Yes,1,Delivered,No Issues Reported,Home Goods,84,109.35,9185.4,6562.3,34.72,North America,Houston,Supplier C,Warehouse 5,304,10.83,89,Medium,1,109.35
P3353,EUR-00116,2023-02-11,2023-02-21,2023-02-22,No,11,Returned,Wrong Item,Electronics,21,222.6,4674.6,3257.5,18.16,Europe,London,Supplier F,Warehouse 6,210,10.55,60,Low,7,222.60000000000002
P3308,ASI-00117,2023-01-22,2023-01-31,2023-01-31,Yes,9,Pending,No Issues Reported,Electronics,41,124.66,5111.06,3191.88,27.98,Asia,Seoul,Supplier E,Warehouse 7,99,2.03,69,Low,5,124.66000000000001
P6055,ASI-00118,2024-07-02,2024-07-08,2024-07-08,Yes,6,Pending,No Issues Reported,Apparel,98,83.87,8219.26,6568.78,28.67,Asia,Mumbai,Supplier E,Warehouse 8,304,1.74,70,High,4,83.87
P5681,NOR-00119,2023-07-02,2023-07-08,2023-07-09,No,7,Pending,No Issues Reported,Home Goods,64,300.77,19249.28,14794.42,36.9,North America,New York,Supplier D,Warehouse 3,324,1.59,33,Low,10,300.77
